calc label enthalpy
e2ts_D_E_B_A_C_B_e2ts_B_E_B_A_C_B e2ts_D_E_B_A_C_B_e2ts_B_E_B_A_C_B -3215.09435505
e2ts_B_A_E_D_C_A_e2ts_B_A_A_D_C_A e2ts_B_A_E_D_C_A_e2ts_B_A_A_D_C_A -2895.66405398
e2ts_C_E_B_A_B_B_e2ts_C_E_B_A_A_B e2ts_C_E_B_A_B_B_e2ts_C_E_B_A_A_B -629.80132943
e2ts_B_C_D_E_C_C_e2ts_B_C_D_E_B_C e2ts_B_C_D_E_C_C_e2ts_B_C_D_E_B_C -1388.99958627
e2ts_C_C_C_A_A_A_e2ts_C_B_C_A_A_A e2ts_C_C_C_A_A_A_e2ts_C_B_C_A_A_A -567.45095120
e2ts_B_D_E_D_B_C_e2ts_B_D_E_D_C_C e2ts_B_D_E_D_B_C_e2ts_B_D_E_D_C_C -3449.29666268
e2ts_E_E_D_C_B_A_e2ts_E_E_D_C_C_A e2ts_E_E_D_C_B_A_e2ts_E_E_D_C_C_A -2894.06807722
e2ts_C_A_A_E_A_A_e2ts_C_A_C_E_A_A e2ts_C_A_A_E_A_A_e2ts_C_A_C_E_A_A -418.51349861
e2ts_C_C_B_C_B_A_e2ts_C_C_B_D_B_A e2ts_C_C_B_C_B_A_e2ts_C_C_B_D_B_A -966.64329551
e2ts_C_C_A_A_C_B_e2ts_C_C_A_B_C_B e2ts_C_C_A_A_C_B_e2ts_C_C_A_B_C_B -3086.95860440
e2ts_D_D_E_D_C_C_e2ts_D_B_E_D_C_C e2ts_D_D_E_D_C_C_e2ts_D_B_E_D_C_C -3449.29871607
e2ts_D_C_E_D_B_D_e2ts_D_C_E_D_C_D e2ts_D_C_E_D_B_D_e2ts_D_C_E_D_C_D -5450.42615603
e2ts_E_C_D_B_C_A_e2ts_E_E_D_B_C_A e2ts_E_C_D_B_C_A_e2ts_E_E_D_B_C_A -3006.12112954
e2ts_A_A_E_D_C_C_e2ts_E_A_E_D_C_C e2ts_A_A_E_D_C_C_e2ts_E_A_E_D_C_C -3261.18636595
e2ts_A_E_B_A_B_B_e2ts_A_E_B_A_A_B e2ts_A_E_B_A_B_B_e2ts_A_E_B_A_A_B -537.70605394
e2ts_C_C_E_A_C_C_e2ts_C_C_E_C_C_C e2ts_C_C_E_A_C_C_e2ts_C_C_E_C_C_C -3443.03640591
e2ts_A_C_E_E_A_D_e2ts_B_C_E_E_A_D e2ts_A_C_E_E_A_D_e2ts_B_C_E_E_A_D -3158.18199515
e2ts_D_E_E_D_C_B_e2ts_D_E_C_D_C_B e2ts_D_E_E_D_C_B_e2ts_D_E_C_D_C_B -2977.20785625
e2ts_C_E_C_C_B_A_e2ts_C_E_C_C_C_A e2ts_C_E_C_C_B_A_e2ts_C_E_C_C_C_A -2983.81181327
e2ts_B_A_D_E_B_C_e2ts_B_C_D_E_B_C e2ts_B_A_D_E_B_C_e2ts_B_C_D_E_B_C -1388.99960822
e2ts_E_D_A_B_C_B_e2ts_E_A_A_B_C_B e2ts_E_D_A_B_C_B_e2ts_E_A_A_B_C_B -3010.92856530
e2ts_B_A_D_A_B_B_e2ts_B_A_D_A_B_C e2ts_B_A_D_A_B_B_e2ts_B_A_D_A_B_C -1241.69840295
